name,timestamp,day,hour,lat,lng,capacity_est,popularity,visitors
Badamtala Ashar Sangha,2025-09-22 08:00:00,Mahalaya,8,22.5179272,88.3441647,12477,major,352
Badamtala Ashar Sangha,2025-09-22 09:00:00,Mahalaya,9,22.5179272,88.3441647,12477,major,249
Badamtala Ashar Sangha,2025-09-22 10:00:00,Mahalaya,10,22.5179272,88.3441647,12477,major,324
Badamtala Ashar Sangha,2025-09-22 11:00:00,Mahalaya,11,22.5179272,88.3441647,12477,major,189
Badamtala Ashar Sangha,2025-09-22 12:00:00,Mahalaya,12,22.5179272,88.3441647,12477,major,484
Badamtala Ashar Sangha,2025-09-22 13:00:00,Mahalaya,13,22.5179272,88.3441647,12477,major,467
Badamtala Ashar Sangha,2025-09-22 14:00:00,Mahalaya,14,22.5179272,88.3441647,12477,major,329
Badamtala Ashar Sangha,2025-09-22 15:00:00,Mahalaya,15,22.5179272,88.3441647,12477,major,573
Badamtala Ashar Sangha,2025-09-22 16:00:00,Mahalaya,16,22.5179272,88.3441647,12477,major,496
Badamtala Ashar Sangha,2025-09-22 17:00:00,Mahalaya,17,22.5179272,88.3441647,12477,major,788
Badamtala Ashar Sangha,2025-09-22 18:00:00,Mahalaya,18,22.5179272,88.3441647,12477,major,1149
Badamtala Ashar Sangha,2025-09-22 19:00:00,Mahalaya,19,22.5179272,88.3441647,12477,major,930
Badamtala Ashar Sangha,2025-09-22 20:00:00,Mahalaya,20,22.5179272,88.3441647,12477,major,887
Badamtala Ashar Sangha,2025-09-22 21:00:00,Mahalaya,21,22.5179272,88.3441647,12477,major,896
Badamtala Ashar Sangha,2025-09-22 22:00:00,Mahalaya,22,22.5179272,88.3441647,12477,major,972
Badamtala Ashar Sangha,2025-09-22 23:00:00,Mahalaya,23,22.5179272,88.3441647,12477,major,910
Bagbazar Sarbojanin,2025-09-22 00:00:00,Mahalaya,0,22.6046989,88.3661347,14209,iconic,2285
Bagbazar Sarbojanin,2025-09-22 01:00:00,Mahalaya,1,22.6046989,88.3661347,14209,iconic,1754
Bagbazar Sarbojanin,2025-09-22 02:00:00,Mahalaya,2,22.6046989,88.3661347,14209,iconic,1957
Bagbazar Sarbojanin,2025-09-22 03:00:00,Mahalaya,3,22.6046989,88.3661347,14209,iconic,128
Bagbazar Sarbojanin,2025-09-22 04:00:00,Mahalaya,4,22.6046989,88.3661347,14209,iconic,195
Bagbazar Sarbojanin,2025-09-22 05:00:00,Mahalaya,5,22.6046989,88.3661347,14209,iconic,248
Bagbazar Sarbojanin,2025-09-22 06:00:00,Mahalaya,6,22.6046989,88.3661347,14209,iconic,638
Bagbazar Sarbojanin,2025-09-22 07:00:00,Mahalaya,7,22.6046989,88.3661347,14209,iconic,540
Bagbazar Sarbojanin,2025-09-22 08:00:00,Mahalaya,8,22.6046989,88.3661347,14209,iconic,520
Bagbazar Sarbojanin,2025-09-22 09:00:00,Mahalaya,9,22.6046989,88.3661347,14209,iconic,478
Bagbazar Sarbojanin,2025-09-22 10:00:00,Mahalaya,10,22.6046989,88.3661347,14209,iconic,454
Bagbazar Sarbojanin,2025-09-22 11:00:00,Mahalaya,11,22.6046989,88.3661347,14209,iconic,638
Bagbazar Sarbojanin,2025-09-22 12:00:00,Mahalaya,12,22.6046989,88.3661347,14209,iconic,1042
Bagbazar Sarbojanin,2025-09-22 13:00:00,Mahalaya,13,22.6046989,88.3661347,14209,iconic,1011
Bagbazar Sarbojanin,2025-09-22 14:00:00,Mahalaya,14,22.6046989,88.3661347,14209,iconic,778
Bagbazar Sarbojanin,2025-09-22 15:00:00,Mahalaya,15,22.6046989,88.3661347,14209,iconic,897
Bagbazar Sarbojanin,2025-09-22 16:00:00,Mahalaya,16,22.6046989,88.3661347,14209,iconic,1210
Bagbazar Sarbojanin,2025-09-22 17:00:00,Mahalaya,17,22.6046989,88.3661347,14209,iconic,1889
Bagbazar Sarbojanin,2025-09-22 18:00:00,Mahalaya,18,22.6046989,88.3661347,14209,iconic,1814
Bagbazar Sarbojanin,2025-09-22 19:00:00,Mahalaya,19,22.6046989,88.3661347,14209,iconic,1617
Bagbazar Sarbojanin,2025-09-22 20:00:00,Mahalaya,20,22.6046989,88.3661347,14209,iconic,1415
Bagbazar Sarbojanin,2025-09-22 21:00:00,Mahalaya,21,22.6046989,88.3661347,14209,iconic,1354
Bagbazar Sarbojanin,2025-09-22 22:00:00,Mahalaya,22,22.6046989,88.3661347,14209,iconic,1782
Bagbazar Sarbojanin,2025-09-22 23:00:00,Mahalaya,23,22.6046989,88.3661347,14209,iconic,1859
Baghbazar Haldarpukur,2025-09-22 00:00:00,Mahalaya,0,22.598993,88.367247,9209,local,562
Baghbazar Haldarpukur,2025-09-22 01:00:00,Mahalaya,1,22.598993,88.367247,9209,local,420
Baghbazar Haldarpukur,2025-09-22 02:00:00,Mahalaya,2,22.598993,88.367247,9209,local,420
Baghbazar Haldarpukur,2025-09-22 03:00:00,Mahalaya,3,22.598993,88.367247,9209,local,47
Baghbazar Haldarpukur,2025-09-22 04:00:00,Mahalaya,4,22.598993,88.367247,9209,local,36
Baghbazar Haldarpukur,2025-09-22 05:00:00,Mahalaya,5,22.598993,88.367247,9209,local,40
Baghbazar Haldarpukur,2025-09-22 06:00:00,Mahalaya,6,22.598993,88.367247,9209,local,100
Baghbazar Haldarpukur,2025-09-22 07:00:00,Mahalaya,7,22.598993,88.367247,9209,local,126
Baghbazar Haldarpukur,2025-09-22 08:00:00,Mahalaya,8,22.598993,88.367247,9209,local,112
Baghbazar Haldarpukur,2025-09-22 09:00:00,Mahalaya,9,22.598993,88.367247,9209,local,117
Baghbazar Haldarpukur,2025-09-22 10:00:00,Mahalaya,10,22.598993,88.367247,9209,local,121
Baghbazar Haldarpukur,2025-09-22 11:00:00,Mahalaya,11,22.598993,88.367247,9209,local,134
Baghbazar Haldarpukur,2025-09-22 12:00:00,Mahalaya,12,22.598993,88.367247,9209,local,212
Baghbazar Haldarpukur,2025-09-22 13:00:00,Mahalaya,13,22.598993,88.367247,9209,local,187
Baghbazar Haldarpukur,2025-09-22 14:00:00,Mahalaya,14,22.598993,88.367247,9209,local,202
Baghbazar Haldarpukur,2025-09-22 15:00:00,Mahalaya,15,22.598993,88.367247,9209,local,183
Baghbazar Haldarpukur,2025-09-22 16:00:00,Mahalaya,16,22.598993,88.367247,9209,local,165
Baghbazar Haldarpukur,2025-09-22 17:00:00,Mahalaya,17,22.598993,88.367247,9209,local,349
Baghbazar Haldarpukur,2025-09-22 18:00:00,Mahalaya,18,22.598993,88.367247,9209,local,327
Baghbazar Haldarpukur,2025-09-22 19:00:00,Mahalaya,19,22.598993,88.367247,9209,local,408
Baghbazar Haldarpukur,2025-09-22 20:00:00,Mahalaya,20,22.598993,88.367247,9209,local,311
Baghbazar Haldarpukur,2025-09-22 21:00:00,Mahalaya,21,22.598993,88.367247,9209,local,411
Baghbazar Haldarpukur,2025-09-22 22:00:00,Mahalaya,22,22.598993,88.367247,9209,local,348
Baghbazar Haldarpukur,2025-09-22 23:00:00,Mahalaya,23,22.598993,88.367247,9209,local,510
Baguiati Milan Sangha,2025-09-22 00:00:00,Mahalaya,0,22.610855,88.415538,14397,iconic,1899
Baguiati Milan Sangha,2025-09-22 01:00:00,Mahalaya,1,22.610855,88.415538,14397,iconic,2306
Baguiati Milan Sangha,2025-09-22 02:00:00,Mahalaya,2,22.610855,88.415538,14397,iconic,2328
Baguiati Milan Sangha,2025-09-22 03:00:00,Mahalaya,3,22.610855,88.415538,14397,iconic,141
Baguiati Milan Sangha,2025-09-22 04:00:00,Mahalaya,4,22.610855,88.415538,14397,iconic,248
Baguiati Milan Sangha,2025-09-22 05:00:00,Mahalaya,5,22.610855,88.415538,14397,iconic,298
Baguiati Milan Sangha,2025-09-22 06:00:00,Mahalaya,6,22.610855,88.415538,14397,iconic,686
Baguiati Milan Sangha,2025-09-22 07:00:00,Mahalaya,7,22.610855,88.415538,14397,iconic,681
Baguiati Milan Sangha,2025-09-22 08:00:00,Mahalaya,8,22.610855,88.415538,14397,iconic,577
Baguiati Milan Sangha,2025-09-22 09:00:00,Mahalaya,9,22.610855,88.415538,14397,iconic,503
Baguiati Milan Sangha,2025-09-22 10:00:00,Mahalaya,10,22.610855,88.415538,14397,iconic,650
Baguiati Milan Sangha,2025-09-22 11:00:00,Mahalaya,11,22.610855,88.415538,14397,iconic,427
Baguiati Milan Sangha,2025-09-22 12:00:00,Mahalaya,12,22.610855,88.415538,14397,iconic,925
Baguiati Milan Sangha,2025-09-22 13:00:00,Mahalaya,13,22.610855,88.415538,14397,iconic,1005
Baguiati Milan Sangha,2025-09-22 14:00:00,Mahalaya,14,22.610855,88.415538,14397,iconic,690
Baguiati Milan Sangha,2025-09-22 15:00:00,Mahalaya,15,22.610855,88.415538,14397,iconic,789
Baguiati Milan Sangha,2025-09-22 16:00:00,Mahalaya,16,22.610855,88.415538,14397,iconic,784
Baguiati Milan Sangha,2025-09-22 17:00:00,Mahalaya,17,22.610855,88.415538,14397,iconic,1694
Baguiati Milan Sangha,2025-09-22 18:00:00,Mahalaya,18,22.610855,88.415538,14397,iconic,1518
Baguiati Milan Sangha,2025-09-22 19:00:00,Mahalaya,19,22.610855,88.415538,14397,iconic,1700
Baguiati Milan Sangha,2025-09-22 20:00:00,Mahalaya,20,22.610855,88.415538,14397,iconic,1521
Baguiati Milan Sangha,2025-09-22 21:00:00,Mahalaya,21,22.610855,88.415538,14397,iconic,2187
Baguiati Milan Sangha,2025-09-22 22:00:00,Mahalaya,22,22.610855,88.415538,14397,iconic,1788
Baguiati Milan Sangha,2025-09-22 23:00:00,Mahalaya,23,22.610855,88.415538,14397,iconic,2631
Ballygunge Cultural,2025-09-22 00:00:00,Mahalaya,0,22.5158837,88.3558166,10060,major,911
Ballygunge Cultural,2025-09-22 01:00:00,Mahalaya,1,22.5158837,88.3558166,10060,major,1069
Ballygunge Cultural,2025-09-22 02:00:00,Mahalaya,2,22.5158837,88.3558166,10060,major,995
Ballygunge Cultural,2025-09-22 03:00:00,Mahalaya,3,22.5158837,88.3558166,10060,major,69
Ballygunge Cultural,2025-09-22 04:00:00,Mahalaya,4,22.5158837,88.3558166,10060,major,117
Ballygunge Cultural,2025-09-22 05:00:00,Mahalaya,5,22.5158837,88.3558166,10060,major,94
Ballygunge Cultural,2025-09-22 06:00:00,Mahalaya,6,22.5158837,88.3558166,10060,major,206
Ballygunge Cultural,2025-09-22 07:00:00,Mahalaya,7,22.5158837,88.3558166,10060,major,268
Ballygunge Cultural,2025-09-22 08:00:00,Mahalaya,8,22.5158837,88.3558166,10060,major,231
Ballygunge Cultural,2025-09-22 09:00:00,Mahalaya,9,22.5158837,88.3558166,10060,major,264
Ballygunge Cultural,2025-09-22 10:00:00,Mahalaya,10,22.5158837,88.3558166,10060,major,379
Ballygunge Cultural,2025-09-22 11:00:00,Mahalaya,11,22.5158837,88.3558166,10060,major,187
Ballygunge Cultural,2025-09-22 12:00:00,Mahalaya,12,22.5158837,88.3558166,10060,major,439
Ballygunge Cultural,2025-09-22 13:00:00,Mahalaya,13,22.5158837,88.3558166,10060,major,448
Ballygunge Cultural,2025-09-22 14:00:00,Mahalaya,14,22.5158837,88.3558166,10060,major,336
Ballygunge Cultural,2025-09-22 15:00:00,Mahalaya,15,22.5158837,88.3558166,10060,major,343
Ballygunge Cultural,2025-09-22 16:00:00,Mahalaya,16,22.5158837,88.3558166,10060,major,284
Ballygunge Cultural,2025-09-22 17:00:00,Mahalaya,17,22.5158837,88.3558166,10060,major,949
Ballygunge Cultural,2025-09-22 18:00:00,Mahalaya,18,22.5158837,88.3558166,10060,major,851
Ballygunge Cultural,2025-09-22 19:00:00,Mahalaya,19,22.5158837,88.3558166,10060,major,784
Ballygunge Cultural,2025-09-22 20:00:00,Mahalaya,20,22.5158837,88.3558166,10060,major,932
Ballygunge Cultural,2025-09-22 21:00:00,Mahalaya,21,22.5158837,88.3558166,10060,major,840
Ballygunge Cultural,2025-09-22 22:00:00,Mahalaya,22,22.5158837,88.3558166,10060,major,766
Ballygunge Cultural,2025-09-22 23:00:00,Mahalaya,23,22.5158837,88.3558166,10060,major,918
Barisha Shakti Sangha,2025-09-22 00:00:00,Mahalaya,0,22.539371,88.3148,3057,iconic,408
Barisha Shakti Sangha,2025-09-22 01:00:00,Mahalaya,1,22.539371,88.3148,3057,iconic,402
Barisha Shakti Sangha,2025-09-22 02:00:00,Mahalaya,2,22.539371,88.3148,3057,iconic,348
Barisha Shakti Sangha,2025-09-22 03:00:00,Mahalaya,3,22.539371,88.3148,3057,iconic,68
Barisha Shakti Sangha,2025-09-22 04:00:00,Mahalaya,4,22.539371,88.3148,3057,iconic,71
Barisha Shakti Sangha,2025-09-22 05:00:00,Mahalaya,5,22.539371,88.3148,3057,iconic,42
Barisha Shakti Sangha,2025-09-22 06:00:00,Mahalaya,6,22.539371,88.3148,3057,iconic,94
Barisha Shakti Sangha,2025-09-22 07:00:00,Mahalaya,7,22.539371,88.3148,3057,iconic,140
Barisha Shakti Sangha,2025-09-22 08:00:00,Mahalaya,8,22.539371,88.3148,3057,iconic,155
Barisha Shakti Sangha,2025-09-22 09:00:00,Mahalaya,9,22.539371,88.3148,3057,iconic,103
Barisha Shakti Sangha,2025-09-22 10:00:00,Mahalaya,10,22.539371,88.3148,3057,iconic,79
Barisha Shakti Sangha,2025-09-22 11:00:00,Mahalaya,11,22.539371,88.3148,3057,iconic,191
Barisha Shakti Sangha,2025-09-22 12:00:00,Mahalaya,12,22.539371,88.3148,3057,iconic,149
Barisha Shakti Sangha,2025-09-22 13:00:00,Mahalaya,13,22.539371,88.3148,3057,iconic,225
Barisha Shakti Sangha,2025-09-22 14:00:00,Mahalaya,14,22.539371,88.3148,3057,iconic,150
Barisha Shakti Sangha,2025-09-22 15:00:00,Mahalaya,15,22.539371,88.3148,3057,iconic,155
Barisha Shakti Sangha,2025-09-22 16:00:00,Mahalaya,16,22.539371,88.3148,3057,iconic,157
Barisha Shakti Sangha,2025-09-22 17:00:00,Mahalaya,17,22.539371,88.3148,3057,iconic,434
Barisha Shakti Sangha,2025-09-22 18:00:00,Mahalaya,18,22.539371,88.3148,3057,iconic,482
Barisha Shakti Sangha,2025-09-22 19:00:00,Mahalaya,19,22.539371,88.3148,3057,iconic,324
Barisha Shakti Sangha,2025-09-22 20:00:00,Mahalaya,20,22.539371,88.3148,3057,iconic,310
Barisha Shakti Sangha,2025-09-22 21:00:00,Mahalaya,21,22.539371,88.3148,3057,iconic,369
Barisha Shakti Sangha,2025-09-22 22:00:00,Mahalaya,22,22.539371,88.3148,3057,iconic,459
Barisha Shakti Sangha,2025-09-22 23:00:00,Mahalaya,23,22.539371,88.3148,3057,iconic,507
Behala Barisha Club,2025-09-22 00:00:00,Mahalaya,0,22.538882,88.366548,14618,iconic,2083
Behala Barisha Club,2025-09-22 01:00:00,Mahalaya,1,22.538882,88.366548,14618,iconic,1845
Behala Barisha Club,2025-09-22 02:00:00,Mahalaya,2,22.538882,88.366548,14618,iconic,2118
Behala Barisha Club,2025-09-22 03:00:00,Mahalaya,3,22.538882,88.366548,14618,iconic,329
Behala Barisha Club,2025-09-22 04:00:00,Mahalaya,4,22.538882,88.366548,14618,iconic,296
Behala Barisha Club,2025-09-22 05:00:00,Mahalaya,5,22.538882,88.366548,14618,iconic,163
Behala Barisha Club,2025-09-22 06:00:00,Mahalaya,6,22.538882,88.366548,14618,iconic,475
Behala Barisha Club,2025-09-22 07:00:00,Mahalaya,7,22.538882,88.366548,14618,iconic,552
Behala Barisha Club,2025-09-22 08:00:00,Mahalaya,8,22.538882,88.366548,14618,iconic,639
Behala Barisha Club,2025-09-22 09:00:00,Mahalaya,9,22.538882,88.366548,14618,iconic,653
Behala Barisha Club,2025-09-22 10:00:00,Mahalaya,10,22.538882,88.366548,14618,iconic,458
Behala Barisha Club,2025-09-22 11:00:00,Mahalaya,11,22.538882,88.366548,14618,iconic,616
Behala Barisha Club,2025-09-22 12:00:00,Mahalaya,12,22.538882,88.366548,14618,iconic,542
Behala Barisha Club,2025-09-22 13:00:00,Mahalaya,13,22.538882,88.366548,14618,iconic,1319
Behala Barisha Club,2025-09-22 14:00:00,Mahalaya,14,22.538882,88.366548,14618,iconic,726
Behala Barisha Club,2025-09-22 15:00:00,Mahalaya,15,22.538882,88.366548,14618,iconic,759
Behala Barisha Club,2025-09-22 16:00:00,Mahalaya,16,22.538882,88.366548,14618,iconic,1089
Behala Barisha Club,2025-09-22 17:00:00,Mahalaya,17,22.538882,88.366548,14618,iconic,1287
Behala Barisha Club,2025-09-22 18:00:00,Mahalaya,18,22.538882,88.366548,14618,iconic,1627
Behala Barisha Club,2025-09-22 19:00:00,Mahalaya,19,22.538882,88.366548,14618,iconic,2482
Behala Barisha Club,2025-09-22 20:00:00,Mahalaya,20,22.538882,88.366548,14618,iconic,1616
Behala Barisha Club,2025-09-22 21:00:00,Mahalaya,21,22.538882,88.366548,14618,iconic,1724
Behala Barisha Club,2025-09-22 22:00:00,Mahalaya,22,22.538882,88.366548,14618,iconic,1934
Behala Barisha Club,2025-09-22 23:00:00,Mahalaya,23,22.538882,88.366548,14618,iconic,1824
Behala Natun Dal,2025-09-22 00:00:00,Mahalaya,0,22.4962874,88.3176519,14958,major,1632
Behala Natun Dal,2025-09-22 01:00:00,Mahalaya,1,22.4962874,88.3176519,14958,major,1225
Behala Natun Dal,2025-09-22 02:00:00,Mahalaya,2,22.4962874,88.3176519,14958,major,814
Behala Natun Dal,2025-09-22 03:00:00,Mahalaya,3,22.4962874,88.3176519,14958,major,144
Behala Natun Dal,2025-09-22 04:00:00,Mahalaya,4,22.4962874,88.3176519,14958,major,216
Behala Natun Dal,2025-09-22 05:00:00,Mahalaya,5,22.4962874,88.3176519,14958,major,128
Behala Natun Dal,2025-09-22 06:00:00,Mahalaya,6,22.4962874,88.3176519,14958,major,286
Behala Natun Dal,2025-09-22 07:00:00,Mahalaya,7,22.4962874,88.3176519,14958,major,499
Behala Natun Dal,2025-09-22 08:00:00,Mahalaya,8,22.4962874,88.3176519,14958,major,278
Behala Natun Dal,2025-09-22 09:00:00,Mahalaya,9,22.4962874,88.3176519,14958,major,381
Behala Natun Dal,2025-09-22 10:00:00,Mahalaya,10,22.4962874,88.3176519,14958,major,369
Behala Natun Dal,2025-09-22 11:00:00,Mahalaya,11,22.4962874,88.3176519,14958,major,449
Behala Natun Dal,2025-09-22 12:00:00,Mahalaya,12,22.4962874,88.3176519,14958,major,539
Behala Natun Dal,2025-09-22 13:00:00,Mahalaya,13,22.4962874,88.3176519,14958,major,495
Behala Natun Dal,2025-09-22 14:00:00,Mahalaya,14,22.4962874,88.3176519,14958,major,701
Behala Natun Dal,2025-09-22 15:00:00,Mahalaya,15,22.4962874,88.3176519,14958,major,599
Behala Natun Dal,2025-09-22 16:00:00,Mahalaya,16,22.4962874,88.3176519,14958,major,647
Behala Natun Dal,2025-09-22 17:00:00,Mahalaya,17,22.4962874,88.3176519,14958,major,889
Behala Natun Dal,2025-09-22 18:00:00,Mahalaya,18,22.4962874,88.3176519,14958,major,1446
Behala Natun Dal,2025-09-22 19:00:00,Mahalaya,19,22.4962874,88.3176519,14958,major,1338
Behala Natun Dal,2025-09-22 20:00:00,Mahalaya,20,22.4962874,88.3176519,14958,major,1022
Behala Natun Dal,2025-09-22 21:00:00,Mahalaya,21,22.4962874,88.3176519,14958,major,1560
Behala Natun Dal,2025-09-22 22:00:00,Mahalaya,22,22.4962874,88.3176519,14958,major,1142
Behala Natun Dal,2025-09-22 23:00:00,Mahalaya,23,22.4962874,88.3176519,14958,major,1199
Behala Udayan Sangha,2025-09-22 00:00:00,Mahalaya,0,22.510268,88.373748,3477,major,298
Behala Udayan Sangha,2025-09-22 01:00:00,Mahalaya,1,22.510268,88.373748,3477,major,331
Behala Udayan Sangha,2025-09-22 02:00:00,Mahalaya,2,22.510268,88.373748,3477,major,327
Behala Udayan Sangha,2025-09-22 03:00:00,Mahalaya,3,22.510268,88.373748,3477,major,56
Behala Udayan Sangha,2025-09-22 04:00:00,Mahalaya,4,22.510268,88.373748,3477,major,47
Behala Udayan Sangha,2025-09-22 05:00:00,Mahalaya,5,22.510268,88.373748,3477,major,28
Behala Udayan Sangha,2025-09-22 06:00:00,Mahalaya,6,22.510268,88.373748,3477,major,104
Behala Udayan Sangha,2025-09-22 07:00:00,Mahalaya,7,22.510268,88.373748,3477,major,71
Behala Udayan Sangha,2025-09-22 08:00:00,Mahalaya,8,22.510268,88.373748,3477,major,98
Behala Udayan Sangha,2025-09-22 09:00:00,Mahalaya,9,22.510268,88.373748,3477,major,92
Behala Udayan Sangha,2025-09-22 10:00:00,Mahalaya,10,22.510268,88.373748,3477,major,70
Behala Udayan Sangha,2025-09-22 11:00:00,Mahalaya,11,22.510268,88.373748,3477,major,126
Behala Udayan Sangha,2025-09-22 12:00:00,Mahalaya,12,22.510268,88.373748,3477,major,108
Behala Udayan Sangha,2025-09-22 13:00:00,Mahalaya,13,22.510268,88.373748,3477,major,163
Behala Udayan Sangha,2025-09-22 14:00:00,Mahalaya,14,22.510268,88.373748,3477,major,140
Behala Udayan Sangha,2025-09-22 15:00:00,Mahalaya,15,22.510268,88.373748,3477,major,127
Behala Udayan Sangha,2025-09-22 16:00:00,Mahalaya,16,22.510268,88.373748,3477,major,119
Behala Udayan Sangha,2025-09-22 17:00:00,Mahalaya,17,22.510268,88.373748,3477,major,304
Behala Udayan Sangha,2025-09-22 18:00:00,Mahalaya,18,22.510268,88.373748,3477,major,343
Behala Udayan Sangha,2025-09-22 19:00:00,Mahalaya,19,22.510268,88.373748,3477,major,292
Behala Udayan Sangha,2025-09-22 20:00:00,Mahalaya,20,22.510268,88.373748,3477,major,245
Behala Udayan Sangha,2025-09-22 21:00:00,Mahalaya,21,22.510268,88.373748,3477,major,259
Behala Udayan Sangha,2025-09-22 22:00:00,Mahalaya,22,22.510268,88.373748,3477,major,288
